stationcode,name,capacity,coordonnees_geo
25007,Bons Raisins - Voltaire,24,"{'lon': 2.1947155570850896, 'lat': 48.87282451461399}"
11111,Léon Frot - Charonne,19,"{'lon': 2.387217085372007, 'lat': 48.854963800335234}"
20020,Pyrénées - Charles Renouvier,29,"{'lon': 2.400421852042113, 'lat': 48.86095933229224}"
15045,Porte de la Plaine,35,"{'lon': 2.2924277186393742, 'lat': 48.82805169605981}"
20110,Gambetta - Tourelles,20,"{'lon': 2.4059921130538, 'lat': 48.875337902264}"
6028,Quatre Vents - Carrefour de l'Odéon,37,"{'lon': 2.338161695134053, 'lat': 48.851751374458864}"
16023,Passy - Place du Costa Rica,33,"{'lon': 2.2839655, 'lat': 48.8584893}"
13037,Ivry - Baudricourt,20,"{'lon': 2.363106073577468, 'lat': 48.824695995415006}"
16104,Paul Valery - Victor Hugo,35,"{'lon': 2.2887128591537476, 'lat': 48.87137406080164}"
11201,Faubourg St-Antoine - Place de la Nation,16,"{'lon': 2.393606, 'lat': 48.8487726}"
13203,Square de Choisy - Eastman,0,"{'lon': 2.3583075090494, 'lat': 48.828543456283}"
12157,Fabre d'Eglantine - Place de la Nation,68,"{'lon': 2.3956204, 'lat': 48.8471116}"
2022,Saint-Fiacre - Poissonière,35,"{'lon': 2.3459213599563, 'lat': 48.870828911558}"
17025,Chazelles - Courcelles,35,"{'lon': 2.3034455627202988, 'lat': 48.879406604954}"
10013,Alibert - Jemmapes,60,"{'lon': 2.3661044619878, 'lat': 48.871044051984}"
14002,Edgar Quinet - Raspail,46,"{'lon': 2.32971478253603, 'lat': 48.83940266673835}"
31102,Boissière - Etienne Dolet,21,"{'lon': 2.4677312, 'lat': 48.876111}"
17203,Place de la Porte de Champeret,28,"{'lon': 2.2917001576821, 'lat': 48.886062068226}"
11030,Oberkampf - République,24,"{'lon': 2.37611478491, 'lat': 48.86531608707}"
5123,Saint-Germain - Thenard,31,"{'lon': 2.3471015, 'lat': 48.850571}"
23009,Anatole France - Louise Michel,50,"{'lon': 2.2881576418876652, 'lat': 48.88873214926474}"
16124,Route de Sèvres - Porte de Bagatelle,66,"{'lon': 2.249415814876557, 'lat': 48.87525984132485}"
92003,Chanzy - Sud-Est,25,"{'lon': 2.195632159709931, 'lat': 48.888912037698766}"
14001,Edgar Quinet - Gaité,27,"{'lon': 2.32459545135498, 'lat': 48.84116092896631}"
20136,Henri Chevreau - Couronnes,27,"{'lon': 2.388777695596218, 'lat': 48.87033205312931}"
11101,Charles Delescluze,49,"{'lon': 2.380632497370243, 'lat': 48.85242200848887}"
13043,Dunois - Clisson,51,"{'lon': 2.3674523, 'lat': 48.832294}"
9023,Laffitte - Italiens,33,"{'lon': 2.3372015478451, 'lat': 48.871815737396}"
15002,Maine - Antoine Bourdelle,17,"{'lon': 2.320263946784738, 'lat': 48.84308531746595}"
7020,Champ de Mars - Cler,25,"{'lon': 2.306646779179573, 'lat': 48.856691550115315}"
21024,Billancourt - Général Leclerc,22,"{'lon': 2.2380413, 'lat': 48.8322649}"
10163,Gare du Nord - Demarquay,30,"{'lon': 2.358411, 'lat': 48.881154}"
18138,Station Paris Basketball - Ney - Charles Hermite,20,"{'lon': 2.3645754531026, 'lat': 48.898748039775}"
8105,François 1er - Lincoln,31,"{'lon': 2.3024262188416, 'lat': 48.869517979344}"
17005,Brochant - Clichy,53,"{'lon': 2.319730559929781, 'lat': 48.89032998912038}"
44103,Pont De Charenton,18,"{'lon': 2.4199531, 'lat': 48.8179685}"
21951,Place Centrale,22,"{'lon': 2.2278830409049992, 'lat': 48.78740167690531}"
