station_id,stationCode,name,lat,lon,capacity,rental_methods,num_bikes_available,numBikesAvailable,mechanical_bikes,ebike,num_docks_available,numDocksAvailable,is_installed,is_returning,is_renting,last_reported
54000610,16025,Jean de la Fontaine - Boulainvilliers,48.85264791461651,2.2758664190769196,68,CREDITCARD,42,42,39,3,22,22,1,1,1,1717769820
101022698,13036,Olympiades,48.826764665199,2.3650860786438,36,CREDITCARD,5,5,0,5,30,30,1,1,1,1717769852
82440673,14035,Maine - Jean Zay,48.837925263898,2.3225428909063,50,CREDITCARD,11,11,4,7,37,37,1,1,1,1717769867
54000583,14009,Tombe Issoire - René Coty,48.83051287670899,2.3343613743782043,36,CREDITCARD,2,2,1,1,33,33,1,1,1,1717769786
74858883,17117,Pereire - Saussure,48.888229075478,2.3101296275854,32,,7,7,3,4,24,24,1,1,1,1717769787
63279,16017,Siam - La Pompe,48.861720329027264,2.275346568555312,16,,1,1,1,0,15,15,1,1,1,1717769699
125918662,18021,Marcadet - Ramey,48.890875,2.3449019,21,CREDITCARD,3,3,1,2,18,18,1,1,1,1717769574
15163771,16116,George Sand - Jean de La Fontaine,48.84986918764119,2.268257387525699,29,,11,11,9,2,17,17,1,1,1,1717769699
82571023,20013,Alexandre Dumas - Place de la Réunion,48.85533710742046,2.3997703687646292,45,,6,6,2,4,38,38,1,1,1,1717769867
100893610,7023,Bourdonnais - Tour Eiffel,48.860897797941,2.295599598447,60,CREDITCARD,55,55,40,15,4,4,1,1,1,1717769868
27363205,15045,Porte de la Plaine,48.82805169605981,2.2924277186393742,35,,4,4,1,3,30,30,1,1,1,1717769804
653197206,25004,Marcel Pourtout - Édouard Manet ,48.87555620763429,2.1655967831611638,24,,17,17,8,9,6,6,1,1,1,1717769637
27415256,12022,Sahel - Général Michel Bizot,48.840872964793355,2.4044444784522057,33,CREDITCARD,9,9,8,1,22,22,1,1,1,1717769769
101488317,14005,René Coty - Place Denfert-Rochereau,48.833056477316,2.3329411447048,36,CREDITCARD,5,5,0,5,30,30,1,1,1,1717769709
6497,15027,Duhamel - André Gide,48.8365662244334,2.312707121097412,20,,2,2,0,2,18,18,1,1,1,1717769846
653118283,21023,Ancienne Mairie - André Morizet,48.838311,2.234077,25,,4,4,1,3,21,21,1,1,1,1717769686
124167835,31105,Lavoisier - Missak Manouchian,48.86286468896063,2.495676465332508,18,,5,5,1,4,13,13,1,1,1,1717769829
82335295,5033,Saint-Séverin - Saint-Michel,48.852731305488,2.3440927639604,30,CREDITCARD,23,23,21,2,6,6,1,1,1,1717769813
66491384,42205,Place Aristide Briand,48.82189236575831,2.413003742694855,35,CREDITCARD,2,2,2,0,33,33,1,1,1,1717769809
16931052467,30004,Jean Jaurès - Place de la Libération,48.90617751921,2.4391458057475,30,,18,18,9,9,9,9,1,1,1,1717769616
102748267,43004,Montreuil - République,48.85026349463687,2.4345204234123234,25,CREDITCARD,2,2,0,2,20,20,1,1,1,1717769804
28233012,8046,Marceau - Président Wilson,48.8652359,2.3002513,32,CREDITCARD,20,20,17,3,10,10,1,1,1,1717769833
49829553,17110,Legendre - Nollet,48.887742186754224,2.320293079881375,30,CREDITCARD,5,5,2,3,24,24,1,1,1,1717769756
102752610,31701,Mairie de Bagnolet,48.868421318555,2.4179587885737,28,CREDITCARD,6,6,1,5,21,21,1,1,1,1717769604
37848502,22404,Pierre Brossolette - 12 Février 1934,48.8176962416867,2.3076123744249344,25,,1,1,1,0,24,24,1,1,1,1717769760
54000624,20110,Gambetta - Tourelles,48.875337902264,2.4059921130538,20,,2,2,0,2,18,18,1,1,1,1717769722
27415371,20014,Charonne - Alexandre Dumas,48.856077415056,2.3948693275452,35,CREDITCARD,2,2,1,1,32,32,1,1,1,1717769494
54000552,8007,Rome - Provence,48.874230055580306,2.325570111724113,30,CREDITCARD,20,20,12,8,10,10,1,1,1,1717769699
16930981813,21218,Gabriel Péri - Place de la Libération,48.819828421929,2.3117361743705,18,CREDITCARD,3,3,1,2,12,12,1,1,1,1717769824
66491382,17006,Guy Môquet - Compoint,48.89213559044868,2.32321947813034,36,CREDITCARD,1,1,0,1,35,35,1,1,1,1717769407
