startDate,endDate,lastUpdate,cause,severity,title,message,message_nohtml,tags
2024-05-27 03:00:00,2024-06-30 23:00:00,2024-05-22 15:20:13,PERTURBATION,PERTURBEE,Ligne 61 - Travaux Maurepas,"<p>En raison de travaux sur le Boulevard Michel Miserey à Maurepas, les arrêts Lycée des 7 Mares à Maurepas seront déplacés.<br>Dans le sens vers le Boulevard Schuler, l’arrêt pourra être desservi à partir du lundi 27 mai 2024.<br>Dans le sens vers le Boulevard de la Loire, l’arrêt pourra être desservi à partir du lundi 10 juin 2024.</p>","En raison de travaux sur le Boulevard Michel Miserey à Maurepas, les arrêts Lycée des 7 Mares à Maurepas seront déplacés. Dans le sens vers le Boulevard Schuler, l’arrêt pourra être desservi à partir du lundi 27 mai 2024. Dans le sens vers le Boulevard de la Loire, l’arrêt pourra être desservi à partir du lundi 10 juin 2024.",
2024-05-22 17:36:00,2024-06-30 23:59:00,2024-05-22 17:46:01,INFORMATION,PERTURBEE,La ligne Express 91.05 change à partir du 3 juin 2024,"<p><strong><u>Votre ligne Express 91.05 évolue à partir du 3 juin 2024</u></strong></p><p>&nbsp;</p><p>En raison de la mise en service du T12 entre Massy et Evry-Courcouronnes, votre ligne de bus change son itinéraire. Elle reliera la gare d'Evry-Courcouronnes à Polytechnique Vauve en passant par le plateau de Saclay et la gare RER B du Guichet.</p><p>&nbsp;</p><p>Attention, la gare de Massy Palaiseau et certains arrêts dans la zone de Courtaboeuf ne seront plus desservis par cette ligne dans les deux sens de circulation.</p><p>&nbsp;</p><p>Pour plus d'informations, nous vous invitons à consulter le lien ci-dessous ;&nbsp;</p><p><a href=""https://www.iledefrance-mobilites.fr/actualites/locales/detail/a-partir-du-3-juin-2024-votre-ligne-evolue"">CLIQUEZ ICI&nbsp;</a></p>","Votre ligne Express 91.05 évolue à partir du 3 juin 2024 En raison de la mise en service du T12 entre Massy et Evry-Courcouronnes, votre ligne de bus change son itinéraire. Elle reliera la gare d'Evry-Courcouronnes à Polytechnique Vauve en passant par le plateau de Saclay et la gare RER B du Guichet. Attention, la gare de Massy Palaiseau et certains arrêts dans la zone de Courtaboeuf ne seront plus desservis par cette ligne dans les deux sens de circulation. Pour plus d'informations, nous vous invitons à consulter le lien ci-dessous ; CLIQUEZ ICI",Actualité
2024-06-03 00:00:00,2024-06-16 23:00:00,2024-05-22 18:10:13,PERTURBATION,PERTURBEE,Terres d'Envol - Ligne 610 - Nouvel arrêt,"<p>📢 Un nouvel arrêt arrive sur la #Ligne610 !<br>    <br>📅 À partir du 3 juin 2024<br>↪️ La #Ligne610 pourra vous déposer à l'arrêt Maryse Bastié, entre la Gare de Dugny La Courneuve et l'arrêt La Comète !<br>    <br>Pour retrouver les horaires de votre  #Ligne610 ▶️https://bit.ly/3VdxqOF</p>","📢 Un nouvel arrêt arrive sur la #Ligne610 ! 📅 À partir du 3 juin 2024 ↪️ La #Ligne610 pourra vous déposer à l'arrêt Maryse Bastié, entre la Gare de Dugny La Courneuve et l'arrêt La Comète ! Pour retrouver les horaires de votre  #Ligne610 ▶️https://bit.ly/3VdxqOF",
2024-05-27 00:00:00,2024-08-28 23:59:00,2024-05-23 09:35:26,PERTURBATION,PERTURBEE,⚠️Travaux - Ligne 309 - Du 27 Mai au 28 Aout 2024,<p>⚠️Travaux - Ligne 309 - Du 27 Mai au 28 Aout 2024</p><p>&nbsp;</p><p>En raison de travaux d’aménagement sur les communes de Crèvecœur-en-Brie et de La Houssaye-en-Brie</p><p>&nbsp;</p><p>❌Les arrêts Monument et Beauregard non desservis</p><p>❎Report aux arrêts Place Augereau et Gros Bois</p><p>&nbsp;</p><p>Veuillez nous excuser</p>,⚠️Travaux - Ligne 309 - Du 27 Mai au 28 Aout 2024 En raison de travaux d’aménagement sur les communes de Crèvecœur-en-Brie et de La Houssaye-en-Brie ❌Les arrêts Monument et Beauregard non desservis ❎Report aux arrêts Place Augereau et Gros Bois Veuillez nous excuser,Actualité
2024-05-25 01:00:00,2024-07-06 22:00:00,2024-05-23 15:10:22,PERTURBATION,PERTURBEE,MLV-L2291 travaux Annet du 25-05 au 06-07-24 (1/2),"<p>Du samedi 25 mai au samedi 06 juillet 2024 inclus.<br>.<br>En raison de travaux de voirie, la rue du Général de Gaulle à Annet-sur-Marne sera fermée à la circulation. <br>Une déviation sera mise en place uniquement en direction d’Annet-sur-Marne Croix Gauthier et Claye-Souilly Marie / Centre commercial.<br>.<br>Les arrêts « Rigaudin », « Néflier », « La Chanée », « Croix Saint-Louis », « Gypse » en direction de Claye-Souilly Mairie/ Centre commercial et Annet-sur-Marne Croix Gauthier ne seront pas desservis.<br>.<br>Au départ de la Gare de Lagny-Thorigny vers Claye-Souilly seront desservis :<br>L’arrêt « provisoire n°1 » situé dans le giratoire à l’entrée de la commune (D404), « Kellermann n°1159, « Tournelle St-Martin ».<br>.<br>Au départ de la Gare de Lagny Thorigny vers Croix Gauthier seront desservis : <br>L’arrêt « provisoire n°1 » situé dans le giratoire à l’entrée de la commune (D404), « Kellermann n°1159, « Croix Gauthier ».<br>.<br>Nous vous prions de bien vouloir nous excuser de la gêne occasionnée (1/2).</p>","Du samedi 25 mai au samedi 06 juillet 2024 inclus. . En raison de travaux de voirie, la rue du Général de Gaulle à Annet-sur-Marne sera fermée à la circulation. Une déviation sera mise en place uniquement en direction d’Annet-sur-Marne Croix Gauthier et Claye-Souilly Marie / Centre commercial. . Les arrêts « Rigaudin », « Néflier », « La Chanée », « Croix Saint-Louis », « Gypse » en direction de Claye-Souilly Mairie/ Centre commercial et Annet-sur-Marne Croix Gauthier ne seront pas desservis. . Au départ de la Gare de Lagny-Thorigny vers Claye-Souilly seront desservis : L’arrêt « provisoire n°1 » situé dans le giratoire à l’entrée de la commune (D404), « Kellermann n°1159, « Tournelle St-Martin ». . Au départ de la Gare de Lagny Thorigny vers Croix Gauthier seront desservis : L’arrêt « provisoire n°1 » situé dans le giratoire à l’entrée de la commune (D404), « Kellermann n°1159, « Croix Gauthier ». . Nous vous prions de bien vouloir nous excuser de la gêne occasionnée (1/2).",
2024-05-25 01:00:00,2024-07-06 22:00:00,2024-05-23 15:10:42,PERTURBATION,PERTURBEE,MLV-L2291 travaux Annet du 25-05 au 06-07-24 (2/2),"<p>Du samedi 25 mai au samedi 06 juillet 2024 inclus.<br>.<br>Les arrêts « Rigaudin », « Néflier », « La Chanée », « Croix Saint-Louis », « Gypse » en direction de Claye-Souilly Mairie/ Centre commercial et Annet-sur-Marne Croix Gauthier ne seront pas desservis.<br>Au départ de Claye-Souilly Mairie/ Centre commercial et Annet Croix Gauthier vers Gare de Lagny Thorigny :<br>L’itinéraire est normal.<br>.<br>Les courses passant par l’arrêt « Carrouge » en période scolaire pourront emprunter leur itinéraire normal, tous les arrêts habituels seront desservis sur les départs suivants :<br>- Gare de Lagny-Thorigny 7H30 et 8H41 (LàV) .	- Gypse 8H00 et 8H01 (LàV).<br>Mauperthuis 12H40 (mercredi) et 16H45 (LàV).	- Pasteur 16H10, 16H13 (mardi et jeudi) et 17H15.<br>Gare de Lagny-Thorigny 6h50 et 13h00 (Sa)         - Mairie de Claye 7h14 et 13h24 (Sa)<br>.<br>(Plan consultable sur les arrêts concernés).<br>Nous vous prions de bien vouloir nous excuser de la gêne occasionnée (2/2).</p>","Du samedi 25 mai au samedi 06 juillet 2024 inclus. . Les arrêts « Rigaudin », « Néflier », « La Chanée », « Croix Saint-Louis », « Gypse » en direction de Claye-Souilly Mairie/ Centre commercial et Annet-sur-Marne Croix Gauthier ne seront pas desservis. Au départ de Claye-Souilly Mairie/ Centre commercial et Annet Croix Gauthier vers Gare de Lagny Thorigny : L’itinéraire est normal. . Les courses passant par l’arrêt « Carrouge » en période scolaire pourront emprunter leur itinéraire normal, tous les arrêts habituels seront desservis sur les départs suivants : - Gare de Lagny-Thorigny 7H30 et 8H41 (LàV) .	- Gypse 8H00 et 8H01 (LàV). Mauperthuis 12H40 (mercredi) et 16H45 (LàV).	- Pasteur 16H10, 16H13 (mardi et jeudi) et 17H15. Gare de Lagny-Thorigny 6h50 et 13h00 (Sa)         - Mairie de Claye 7h14 et 13h24 (Sa) . (Plan consultable sur les arrêts concernés). Nous vous prions de bien vouloir nous excuser de la gêne occasionnée (2/2).",
2024-09-23 22:15:00,2024-09-23 23:05:00,2024-05-23 16:17:48,TRAVAUX,PERTURBEE,Ligne E : gares non desservies du 23 au 26/09,"<p>P&#233;riode : &#224; partir de 22h15<br><br>Dates : du lundi 23 au jeudi 26 septembre<br><br>Les trains ne desservent pas les gares Pantin et Rosa Parks en direction de Paris.<br>Les premiers trains sans arr&#234;t dans ces deux gares sont :&#160;<br>- HOCI, 22h00 &#224; Chelles-Gournay, 22h19 initialement &#224; Pantin et 22h23 initialement &#224; Rosa Parks ;&#160;<br>- HOVE, 22h05 &#224; Villiers-sur-Marne, 22h26 initialement &#224; Pantin et 22h30 initialement &#224; Rosa Parks ; <br>- HAVA, 21h52 &#224; Tournan, 22h31 initialement &#224; Pantin et 22h35 initialement &#224; Rosa Parks.<br><br>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br><br>Motif : travaux.<br></p>","Période : à partir de 22h15 Dates : du lundi 23 au jeudi 26 septembre Les trains ne desservent pas les gares Pantin et Rosa Parks en direction de Paris. Les premiers trains sans arrêt dans ces deux gares sont : - HOCI, 22h00 à Chelles-Gournay, 22h19 initialement à Pantin et 22h23 initialement à Rosa Parks ; - HOVE, 22h05 à Villiers-sur-Marne, 22h26 initialement à Pantin et 22h30 initialement à Rosa Parks ; - HAVA, 21h52 à Tournan, 22h31 initialement à Pantin et 22h35 initialement à Rosa Parks. Les horaires du calculateur d'itinéraire tiennent compte des travaux. Motif : travaux.",Actualité
2024-05-26 00:00:00,2024-06-23 23:00:00,2024-05-23 18:20:20,PERTURBATION,PERTURBEE,Terres d'Envol - Ligne 609 - Travaux,"<p>⚠️ En raison de travaux à la Courneuve, l’arrêt Fort d’Aubervilliers ne sera pas desservi :  <br>     <br>📆 Du dimanche 26 mai au dimanche 23 juin 2024<br>     <br>Nous vous prions de bien vouloir nous excuser pour la gêne occasionnée. <br>      <br>2024_609_05</p>","⚠️ En raison de travaux à la Courneuve, l’arrêt Fort d’Aubervilliers ne sera pas desservi : 📆 Du dimanche 26 mai au dimanche 23 juin 2024 Nous vous prions de bien vouloir nous excuser pour la gêne occasionnée. 2024_609_05",
2024-05-24 09:45:00,2024-06-30 23:55:00,2024-05-24 09:48:39,TRAVAUX,PERTURBEE,⚠️ 🚍#InfoTrafic - Ligne 6123 – du 22 mai au 30 juin 2024,"<p>⚠️ 🚍#InfoTrafic - Ligne 6123 – du 22 mai au 30 juin 2024</p><p>&nbsp;</p><p><span style=""color:#1B2B39;"">En raison de travaux Avenue Roland Garros et Avenue Sadi Lecointe sur la commune de Vélizy-Villacoublay, la ligne 6123 est déviée dans les deux sens.</span></p><p style=""text-align:center;""><br><span style=""color:#1B2B39;""><strong>Du 22 Mai 2024 au 30 Juin 2024</strong></span></p><p style=""text-align:center;"">&nbsp;</p><p><span style=""color:#1B2B39;"">Arrêts <strong>Fronval et Place de l’Aviation </strong>non desservis dans les deux sens de circulations</span></p><p><span style=""color:#1B2B39;"">Report aux arrêts <strong>Mairie – Tarron, Le Village</strong> et <strong>De Gaulle</strong></span></p>","⚠️ 🚍#InfoTrafic - Ligne 6123 – du 22 mai au 30 juin 2024 En raison de travaux Avenue Roland Garros et Avenue Sadi Lecointe sur la commune de Vélizy-Villacoublay, la ligne 6123 est déviée dans les deux sens. Du 22 Mai 2024 au 30 Juin 2024 Arrêts Fronval et Place de l’Aviation non desservis dans les deux sens de circulations Report aux arrêts Mairie – Tarron, Le Village et De Gaulle",
2024-06-24 23:00:00,2024-06-25 03:00:00,2024-05-24 11:15:27,TRAVAUX,PERTURBEE,Ligne J : Paris - Mantes via Poissy 24/06 au 05/07,"<p>P&#233;riode : &#224; partir de 21h45.</p><p>Dates : du lundi 24 juin au 05 juillet, sauf  les samedis et dimanches.</p><p>Le trafic est interrompu entre Paris Saint-Lazare et Mantes-la-Jolie via Poissy.&#11;</p><p>Un service de bus de remplacement est mis en place entre Sartrouville &#8211; Les Mureaux et Sartrouville - Mantes la Jolie, avec desserte des gares interm&#233;diaires.</p><p>&#11;&#11;Renforcement de ligne r&#233;guli&#232;re : <br>- Express A14 entre La D&#233;fense et Mantes la Jolie.<br><br>Les horaires du calculateur d'itin&#233;raire tiennent compte des travaux.<br><br>Motif : travaux.<br><br><br></p>","Période : à partir de 21h45. Dates : du lundi 24 juin au 05 juillet, sauf  les samedis et dimanches. Le trafic est interrompu entre Paris Saint-Lazare et Mantes-la-Jolie via Poissy. Un service de bus de remplacement est mis en place entre Sartrouville – Les Mureaux et Sartrouville - Mantes la Jolie, avec desserte des gares intermédiaires. Renforcement de ligne régulière : - Express A14 entre La Défense et Mantes la Jolie. Les horaires du calculateur d'itinéraire tiennent compte des travaux. Motif : travaux.",Actualité
